Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column11	Column12
Jijel Ferhat Abbas Airport	Jijel	Algeria	GJL	DAAV	36.79510117	5.87361002	N	Africa/Algiers
Mecheria Airport	Mecheria	Algeria	MZW	DAAY	33.53590012	-0.242353007	N	Africa/Algiers
Relizane Airport	Relizane	Algeria	\N	DAAZ	35.752201	0.626272	N	Africa/Algiers
Rabah Bitat Airport	Annaba	Algeria	AAE	DABB	36.822201	7.809174	N	Africa/Algiers
Mohamed Boudiaf International Airport	Constantine	Algeria	CZL	DABC	36.27600098	6.620389938	N	Africa/Algiers
Cheikh Larbi Tébessi Airport	Tebessa	Algeria	TEE	DABS	35.43159866	8.12071991	N	Africa/Algiers
Batna Airport	Batna	Algeria	BLJ	DABT	35.7521019	6.308589935	N	Africa/Algiers
Hassi R'Mel Airport	Tilrempt	Algeria	HRM	DAFH	32.93040085	3.311539888	N	Africa/Algiers
Tsletsi Airport	Djelfa	Algeria	QDJ	DAFI	34.6657	3.351	U	Africa/Algiers
Bou Chekif Airport	Tiaret	Algeria	TID	DAOB	35.34109879	1.463150024	N	Africa/Algiers
Bou Sfer Airport	Bou Sfer	Algeria	\N	DAOE	35.73540115	-0.805388987	N	Africa/Algiers
Tindouf Airport	Tindouf	Algeria	TIN	DAOF	27.7003994	-8.167099953	N	Africa/Algiers
Ech Cheliff Airport	Ech-cheliff	Algeria	CFK	DAOI	36.21269989	1.331769943	N	Africa/Algiers
Tafaraoui Airport	Oran	Algeria	TAF	DAOL	35.54240036	-0.532278001	N	Africa/Algiers
Zenata – Messali El Hadj Airport	Tlemcen	Algeria	TLM	DAON	35.01670074	-1.450000048	N	Africa/Algiers
Es Senia Airport	Oran	Algeria	ORN	DAOO	35.62390137	-0.621182978	N	Africa/Algiers
Béchar Boudghene Ben Ali Lotfi Airport	Béchar	Algeria	CBH	DAOR	31.64570045	-2.269860029	N	Africa/Algiers
Sidi Bel Abbes Airport	Sidi Bel Abbes	Algeria	BFW	DAOS	35.17179871	-0.593275011	N	Africa/Algiers
Ghriss Airport	Ghriss	Algeria	MUW	DAOV	35.20769882	0.147141993	N	Africa/Algiers
El Bayadh Airport	El Bayadh	Algeria	EBH	DAOY	33.72166667	1.0925	N	\N
Bordj Badji Mokhtar Airport	Bordj Badji Mokhtar	Algeria	BMW	DATM	21.375	0.923888981	N	Africa/Algiers
Touat Cheikh Sidi Mohamed Belkebir Airport	Adrar	Algeria	AZR	DAUA	27.83760071	-0.186414003	N	Africa/Algiers
Biskra Airport	Biskra	Algeria	BSK	DAUB	34.79330063	5.738230228	N	Africa/Algiers
El Golea Airport	El Golea	Algeria	ELG	DAUE	30.57130051	2.859590054	N	Africa/Algiers
Noumérat - Moufdi Zakaria Airport	Ghardaia	Algeria	GHA	DAUG	32.38410187	3.79411006	N	Africa/Algiers
Oued Irara Airport	Hassi Messaoud	Algeria	HME	DAUH	31.67300034	6.140439987	N	Africa/Algiers
In Salah Airport	In Salah	Algeria	INZ	DAUI	27.25099945	2.512020111	N	Africa/Algiers
Touggourt Sidi Madhi Airport	Touggourt	Algeria	TGR	DAUK	33.06779861	6.088669777	N	Africa/Algiers
Laghouat Airport	Laghouat	Algeria	LOO	DAUL	33.76440048	2.928339958	N	Africa/Algiers
Guemar Airport	Guemar	Algeria	ELU	DAUO	33.51139832	6.776790142	N	Africa/Algiers
Timimoun Airport	Timimoun	Algeria	TMX	DAUT	29.2371006	0.276033014	N	Africa/Algiers
Ain el Beida Airport	Ouargla	Algeria	OGX	DAUU	31.91720009	5.412779808	N	Africa/Algiers
In Aménas Airport	Zarzaitine	Algeria	IAM	DAUZ	28.0515	9.64291	N	Africa/Algiers
Cadjehoun Airport	Cotonou	Benin	COO	DBBB	6.357230186	2.384350061	N	Africa/Porto-Novo
Kandi Airport	Kandi	Benin	KDC	DBBK	11.14479	2.940381	U	\N
Parakou Airport	Parakou	Benin	PKO	DBBP	9.357689857	2.609679937	U	\N
Ouagadougou Airport	Ouagadougou	Burkina Faso	OUA	DFFD	12.3532	-1.51242	N	Africa/Ouagadougou
Bobo Dioulasso Airport	Bobo-dioulasso	Burkina Faso	BOY	DFOO	11.16009998	-4.33096981	N	Africa/Ouagadougou
Kotoka International Airport	Accra	Ghana	ACC	DGAA	5.6051898	-0.166786	N	Africa/Accra
Tamale Airport	Tamale	Ghana	TML	DGLE	9.557189941	-0.863214016	N	Africa/Accra
Wa Airport	Wa	Ghana	\N	DGLW	10.08269978	-2.507689953	N	Africa/Accra
Kumasi Airport	Kumasi	Ghana	KMS	DGSI	6.714560032	-1.590819955	N	Africa/Accra
Sunyani Airport	Sunyani	Ghana	NYI	DGSN	7.361830235	-2.328759909	N	Africa/Accra
Takoradi Airport	Takoradi	Ghana	TKD	DGTK	4.89605999	-1.774760008	N	Africa/Accra
Port Bouet Airport	Abidjan	Cote d'Ivoire	ABJ	DIAP	5.261390209	-3.926290035	N	Africa/Abidjan
Bouaké Airport	Bouake	Cote d'Ivoire	BYK	DIBK	7.738800049	-5.07366991	N	Africa/Abidjan
Daloa Airport	Daloa	Cote d'Ivoire	DJO	DIDL	6.792809963	-6.473189831	N	Africa/Abidjan
Korhogo Airport	Korhogo	Cote d'Ivoire	HGO	DIKO	9.387180328	-5.556660175	N	Africa/Abidjan
Man Airport	Man	Cote d'Ivoire	MJC	DIMN	7.272069931	-7.587359905	N	Africa/Abidjan
Odienne Airport	Odienne	Cote d'Ivoire	KEO	DIOD	9.5	-7.566999912	U	\N
San Pedro Airport	San Pedro	Cote d'Ivoire	SPY	DISP	4.746719837	-6.660820007	N	Africa/Abidjan
Yamoussoukro Airport	Yamoussoukro	Cote d'Ivoire	ASK	DIYO	6.903170109	-5.365580082	N	Africa/Abidjan
Nnamdi Azikiwe International Airport	Abuja	Nigeria	ABV	DNAA	9.006790161	7.263169765	N	Africa/Lagos
Akwa Ibom International Airport	Uyo	Nigeria	QUO	DNAI	4.8725	8.093	N	Africa/Lagos
Akure Airport	Akure	Nigeria	AKR	DNAK	7.246739864	5.301010132	N	Africa/Lagos
Asaba International Airport	Asaba	Nigeria	ABB	DNAS	6.204167	6.665278	N	Africa/Lagos
Sir Abubakar Tafawa Balewa International Airport	Bauchi	Nigeria	BCU	DNBC	10.482833	9.744	N	\N
Benin Airport	Benin	Nigeria	BNI	DNBE	6.316979885	5.599500179	N	Africa/Lagos
Srr Ahmadu Bello International Airport	Birnin Kebbi	Nigeria	\N	DNBK	12.480556	4.369445	N	\N
Margaret Ekpo International Airport	Calabar	Nigeria	CBQ	DNCA	4.976019859	8.347200394	N	Africa/Lagos
Dutse International Airport	Dutse	Nigeria	\N	DNDS	11.795168	9.311667	N	\N
Akanu Ibiam International Airport	Enugu	Nigeria	ENU	DNEN	6.474269867	7.56196022	N	Africa/Lagos
Gombe Lawanti International Airport	Gombe	Nigeria	GMO	DNGO	10.29833333	10.89638889	N	\N
Gusau Airport	Gusau	Nigeria	\N	DNGU	12.1717	6.69611	N	Africa/Lagos
Ibadan Airport	Ibadan	Nigeria	IBA	DNIB	7.362460136	3.978329897	N	Africa/Lagos
Ilorin International Airport	Ilorin	Nigeria	ILR	DNIL	8.440210342	4.493919849	N	Africa/Lagos
Sam Mbakwe International Airport	Imo	Nigeria	QOW	DNIM	5.427060127	7.206029892	N	Africa/Lagos
Jalingo Airport	Jalingo	Nigeria	\N	DNJA	8.900587	11.27946	N	\N
Yakubu Gowon Airport	Jos	Nigeria	JOS	DNJO	9.639829636	8.869050026	N	Africa/Lagos
Kaduna Airport	Kaduna	Nigeria	KAD	DNKA	10.6960001	7.320109844	N	Africa/Lagos
Mallam Aminu International Airport	Kano	Nigeria	KAN	DNKN	12.0476	8.52462	N	Africa/Lagos
Maiduguri International Airport	Maiduguri	Nigeria	MIU	DNMA	11.85529995	13.08090019	N	Africa/Lagos
Makurdi Airport	Makurdi	Nigeria	MDI	DNMK	7.70388	8.61394	N	Africa/Lagos
Murtala Muhammed International Airport	Lagos	Nigeria	LOS	DNMM	6.577370167	3.321160078	N	Africa/Lagos
Minna Airport	Minna	Nigeria	MXJ	DNMN	9.652170181	6.462259769	N	Africa/Lagos
Port Harcourt International Airport	Port Hartcourt	Nigeria	PHC	DNPO	5.015490055	6.949590206	N	Africa/Lagos
Sadiq Abubakar III International Airport	Sokoto	Nigeria	SKO	DNSO	12.91629982	5.207190037	N	Africa/Lagos
Warri Airport	Osubi	Nigeria	QRW	DNSU	5.59611	5.81778	U	Africa/Lagos
Yola Airport	Yola	Nigeria	YOL	DNYO	9.25755024	12.43039989	N	Africa/Lagos
Zaria Airport	Zaria	Nigeria	ZAR	DNZA	11.1302	7.68581	N	Africa/Lagos
Maradi Airport	Maradi	Niger	MFQ	DRRM	13.50249958	7.126749992	N	Africa/Niamey
Diori Hamani International Airport	Niamey	Niger	NIM	DRRN	13.4815	2.18361	N	Africa/Niamey
Tahoua Airport	Tahoua	Niger	THZ	DRRT	14.8757	5.265359879	N	Africa/Niamey
Mano Dayak International Airport	Agadez	Niger	AJY	DRZA	16.9659996	8.000109673	N	Africa/Niamey
Dirkou Airport	Dirkou	Niger	\N	DRZD	18.96870041	12.86870003	N	Africa/Niamey
Diffa Airport	Diffa	Niger	\N	DRZF	13.37290001	12.6267004	N	Africa/Niamey
Zinder Airport	Zinder	Niger	ZND	DRZR	13.77900028	8.98375988	N	Africa/Niamey
Tabarka 7 Novembre Airport	Tabarka	Tunisia	TBJ	DTKA	36.97999954	8.876939774	E	Africa/Tunis
Monastir Habib Bourguiba International Airport	Monastir	Tunisia	MIR	DTMB	35.7580986	10.75469971	E	Africa/Tunis
Enfidha - Hammamet International Airport	Enfidha	Tunisia	NBE	DTNH	36.075833	10.438611	U	Africa/Tunis
Tunis Carthage International Airport	Tunis	Tunisia	TUN	DTTA	36.85100174	10.22719955	E	Africa/Tunis
Sidi Ahmed Air Base	Bizerte	Tunisia	\N	DTTB	37.245398	9.79145	E	Africa/Tunis
Remada Air Base	Remada	Tunisia	\N	DTTD	32.30619812	10.38210011	E	Africa/Tunis
Gafsa Ksar International Airport	Gafsa	Tunisia	GAF	DTTF	34.42200089	8.822500229	E	Africa/Tunis
Gabès Matmata International Airport	Gabes	Tunisia	GAE	DTTG	33.87689972	10.10330009	E	Africa/Tunis
Borj El Amri Airport	Bordj El Amri	Tunisia	\N	DTTI	36.72129822	9.943149567	E	Africa/Tunis
Djerba Zarzis International Airport	Djerba	Tunisia	DJE	DTTJ	33.875	10.7755003	E	Africa/Tunis
El Borma Airport	El Borma	Tunisia	EBM	DTTR	31.70429993	9.254619598	E	Africa/Tunis
Sfax Thyna International Airport	Sfax	Tunisia	SFA	DTTX	34.7179985	10.69099998	E	Africa/Tunis
Tozeur Nefta International Airport	Tozeur	Tunisia	TOE	DTTZ	33.93970108	8.110560417	E	Africa/Tunis
Sansanné-Mango Airport	Mango	Togo	\N	DXMG	10.37301064	0.471382141	U	\N
Niamtougou International Airport	Niatougou	Togo	LRL	DXNG	9.76733017	1.091249943	N	Africa/Lome
Sokodé Airport	Sokode	Togo	\N	DXSK	8.994275	1.153004	U	\N
Lomé-Tokoin Airport	Lome	Togo	LFW	DXXX	6.165609837	1.254510045	N	Africa/Lome
Antwerp International Airport (Deurne)	Antwerp	Belgium	ANR	EBAW	51.18939972	4.460279942	E	Europe/Brussels
Beauvechain Air Base	Beauvechain	Belgium	\N	EBBE	50.75859833	4.768330097	E	Europe/Brussels
Kleine Brogel Air Base	Kleine Brogel	Belgium	\N	EBBL	51.168301	5.47	E	Europe/Brussels
Brussels Airport	Brussels	Belgium	BRU	EBBR	50.90140152	4.48443985	E	Europe/Brussels
Jehonville Air Base	Bertrix	Belgium	\N	EBBX	49.89170074	5.223889828	E	Europe/Brussels
Brussels South Charleroi Airport	Charleroi	Belgium	CRL	EBCI	50.459202	4.45382	E	Europe/Brussels
Chièvres Air Base	Chievres	Belgium	\N	EBCV	50.57580185	3.83100009	E	Europe/Brussels
Engels heliport	Ebenhofen	Germany	\N	EBEN	51.21166611	4.580832958	E	Europe/Brussels
Koksijde Air Base	Koksijde	Belgium	\N	EBFN	51.09030151	2.652780056	E	Europe/Brussels
Florennes Air Base	Florennes	Belgium	\N	EBFS	50.24330139	4.645830154	E	Europe/Brussels
Wevelgem Airport	Kortrijk-vevelgem	Belgium	KJK	EBKT	50.81719971	3.20472002	E	Europe/Brussels
Westkapelle heliport	Knokke	Belgium	\N	EBKW	51.32222366	3.293056011	U	Europe/Brussels
Leopoldsburg Airfield	Leopoldsburg	Belgium	\N	EBLE	51.12	5.3072222	E	\N
Liège Airport	Liege	Belgium	LGG	EBLG	50.63740158	5.443220139	E	Europe/Brussels
Namur-Suarlée Airfield	Namur	Belgium	\N	EBNM	50.487999	4.76892	E	Europe/Brussels
Ostend-Bruges International Airport	Ostend	Belgium	OST	EBOS	51.19889832	2.862220049	E	Europe/Brussels
Zutendaal Air Base	Zutendaal	Belgium	\N	EBSL	50.94749832	5.590559959	E	Europe/Brussels
Spa (la Sauvenière) Airfield	Spa	Belgium	\N	EBSP	50.482498	5.9103	E	Europe/Brussels
Brustem Airfield Sint Truiden	Sint-truiden	Belgium	\N	EBST	50.791901	5.20167	E	Europe/Brussels
Saint Hubert Air Base	St.-hubert	Belgium	\N	EBSU	50.03440094	5.440810204	E	Europe/Brussels
Goetsenhoven Air Base	GOETSENHOVEN	Belgium	\N	EBTN	50.78170013	4.957779884	E	Europe/Brussels
Ursel Air Base	Ursel	Belgium	\N	EBUL	51.14419937	3.47555995	E	Europe/Brussels
Weelde Air Base	Weelde	Belgium	\N	EBWE	51.39479828	4.960189819	E	Europe/Brussels
Kiewit Airfield Hasselt	Hasselt	Belgium	\N	EBZH	50.970001	5.37507	E	Europe/Brussels
Zoersel (Oostmalle) Airfield	Zoersel	Belgium	OBL	EBZR	51.264702	4.75333	E	Europe/Brussels
Flugplatz Bautzen	Bautzen	Germany	\N	EDAB	51.193611	14.519722	E	Europe/Berlin
Altenburg-Nobitz Airport	Altenburg	Germany	AOC	EDAC	50.981945	12.506389	E	Europe/Berlin
Dessau Airfield	Dessau	Germany	\N	EDAD	51.831694	12.190962	E	Europe/Berlin
Eisenhüttenstadt Airfield	Eisenhuettenstadt	Germany	\N	EDAE	52.195856	14.58753	E	Europe/Berlin
Heringsdorf Airport	Heringsdorf	Germany	HDF	EDAH	53.87870026	14.15229988	E	Europe/Berlin
Segeletz Airport	Segeletz	Germany	\N	EDAI	52.82666779	12.54194355	E	Europe/Berlin
Gera-Leumnitz Airfield	Gera	Germany	\N	EDAJ	50.881668	12.135833	E	Europe/Berlin
Großenhain Airport	Suhl	Germany	\N	EDAK	51.30805588	13.5555563	E	Europe/Berlin
Fuerstenwalde Airport	Furstenwalde	Germany	\N	EDAL	52.3905983	14.09720039	E	Europe/Berlin
Merseburg Airport	Muehlhausen	Germany	\N	EDAM	51.3630556	11.9408333	E	Europe/Berlin
Neustadt-Glewe Airport	Neustadt-Glewe	Germany	\N	EDAN	53.35972214	11.61527824	E	Europe/Berlin
Halle-Oppin Airport	Halle	Germany	\N	EDAQ	51.552223	12.053889	E	Europe/Berlin
Flugplatz Finsterwalde/Heinrichsruh	Finsterwalde	Germany	\N	EDAS	51.634445	13.675556	E	Europe/Berlin
Riesa-Göhlis Airport	Riesa	Germany	IES	EDAU	51.29360962	13.35611057	E	Europe/Berlin
Eberswalde-Finow Airport	Eberswalde	Germany	\N	EDAV	52.82722092	13.69361115	E	Europe/Berlin
Roitzschjora Airfield	Roitzschjora	Germany	\N	EDAW	51.577778	12.494444	U	Europe/Berlin
Rechlin-Lärz Airport	Rechlin-laerz	Germany	REB	EDAX	53.30638886	12.75222206	E	Europe/Berlin
Strausberg Airport	Strausberg	Germany	\N	EDAY	52.58055496	13.91666698	E	Europe/Berlin
Schönhagen Airport	Schoenhagen	Germany	QXH	EDAZ	52.203609	13.156389	E	Europe/Berlin
Cochstedt Airport	Cochstedt	Germany	CSO	EDBC	51.85639954	11.42029953	E	Europe/Berlin
Burg Airport	Burg	Germany	\N	EDBG	52.2416687	11.85611057	E	Europe/Berlin
Barth Airport	Barth	Germany	BBH	EDBH	54.338253	12.710515	E	Europe/Berlin
Jena-Schöngleina Airfield	Jena	Germany	\N	EDBJ	50.915279	11.714444	E	Europe/Berlin
Kyritz Airport	Kyritz	Germany	\N	EDBK	52.91888809	12.42527771	E	Europe/Berlin
"Magdeburg ""City"" Airport"	Magdeburg	Germany	ZMG	EDBM	52.073612	11.626389	E	Europe/Berlin
Neubrandenburg Airport	Neubrandenburg	Germany	FNB	EDBN	53.6022	13.306	\N	\N
Rothenburg/Görlitz Airport	Rothenburg/ol	Germany	\N	EDBR	51.36333466	14.94999981	E	Europe/Berlin
Allstedt Airport	Allstedt	Germany	\N	EDBT	51.3805542	11.44666672	E	Europe/Berlin
Anklam Airfield	Anklam	Germany	\N	EDCA	53.832779	13.668611	E	Europe/Berlin
Flugplatz Ballenstedt	Ballenstedt	Germany	\N	EDCB	51.745834	11.229722	E	Europe/Berlin
Cottbus-Drewitz Airport	Cottbus	Germany	CBU	EDCD	51.889442	14.531944	E	Europe/Berlin
Rügen Airport	Ruegen	Germany	GTI	EDCG	54.3833313	13.3255558	U	Europe/Berlin
Köthen Airport	Koethen	Germany	KOQ	EDCK	51.7211113	11.95277786	E	Europe/Berlin
Klietz/Scharlibbe Airport	Scharlibbe	Germany	\N	EDCL	52.70944214	12.07333279	E	Europe/Berlin
Kamenz Airport	Kamenz	Germany	\N	EDCM	51.29694366	14.12749958	E	Europe/Berlin
Obermehler-Schlotheim Airport	Obermehler	Germany	\N	EDCO	51.26777649	10.63472176	E	Europe/Berlin
Peenemünde Airport	Peenemunde	Germany	PEF	EDCP	54.15777969	13.77444363	E	Europe/Berlin
Rerik-Zweedorf Airport	Rerik	Germany	\N	EDCR	54.08194351	11.64916706	E	\N
Saarmund Airport	Saarmund	Germany	\N	EDCS	52.30833435	13.10055637	E	Europe/Berlin
Spremberg-Welzow Airport	Welzow	Germany	\N	EDCY	51.57555771	14.13694382	E	Europe/Berlin
Berlin-Schönefeld Airport	Berlin	Germany	SXF	EDDB	52.380001	13.5225	E	Europe/Berlin
Dresden Airport	Dresden	Germany	DRS	EDDC	51.13280106	13.76720047	E	Europe/Berlin
Erfurt Airport	Erfurt	Germany	ERF	EDDE	50.97980118	10.95810032	E	Europe/Berlin
Frankfurt am Main Airport	Frankfurt	Germany	FRA	EDDF	50.033333	8.570556	E	Europe/Berlin
Münster Osnabrück Airport	Munster	Germany	FMO	EDDG	52.13460159	7.684830189	E	Europe/Berlin
Hamburg Airport	Hamburg	Germany	HAM	EDDH	53.63040161	9.988229752	E	Europe/Berlin
Berlin-Tempelhof International Airport	Berlin	Germany	THF	EDDI	52.47299957	13.40390015	E	Europe/Berlin
Cologne Bonn Airport	Cologne	Germany	CGN	EDDK	50.86589813	7.142739773	E	Europe/Berlin
Düsseldorf Airport	Duesseldorf	Germany	DUS	EDDL	51.289501	6.76678	E	Europe/Berlin
Munich Airport	Munich	Germany	MUC	EDDM	48.353802	11.7861	E	Europe/Berlin
Nuremberg Airport	Nuernberg	Germany	NUE	EDDN	49.498699	11.078056	E	Europe/Berlin
Leipzig/Halle Airport	Leipzig	Germany	LEJ	EDDP	51.423889	12.236389	E	Europe/Berlin
Saarbrücken Airport	Saarbruecken	Germany	SCN	EDDR	49.21459961	7.109509945	E	Europe/Berlin
Stuttgart Airport	Stuttgart	Germany	STR	EDDS	48.68989944	9.221960068	E	Europe/Berlin
Berlin-Tegel Airport	Berlin	Germany	TXL	EDDT	52.5597	13.2877	E	Europe/Berlin
Hannover Airport	Hannover	Germany	HAJ	EDDV	52.46110153	9.685079575	E	Europe/Berlin
Bremen Airport	Bremen	Germany	BRE	EDDW	53.04750061	8.786669731	E	Europe/Berlin
Reichelsheim Airport	Reichelsheim	Germany	\N	EDFB	50.3358345	8.878055573	E	\N
Aschaffenburg Airport	Aschaffenburg	Germany	\N	EDFC	49.93888855	9.06388855	E	\N
Frankfurt-Egelsbach Airport	Egelsbach	Germany	QEF	EDFE	49.959999	8.645833	E	Europe/Berlin
Gelnhausen Airport	Gelnhausen	Germany	\N	EDFG	50.19722366	9.170000076	E	\N
Frankfurt-Hahn Airport	Hahn	Germany	HHN	EDFH	49.9487	7.26389	E	Europe/Berlin
Gießen-Lützellinden Airport	Giessen	Germany	\N	EDFL	50.54388809	8.590277672	E	\N
Mannheim-City Airport	Mannheim	Germany	MHG	EDFM	49.473057	8.514167	E	Europe/Berlin
Marburg-Schönstadt Airport	Schoenstadt	Germany	\N	EDFN	50.87444305	8.81499958	E	\N
Allendorf/Eder Airport	Allendorf	Germany	\N	EDFQ	51.03499985	8.680832863	E	Europe/Berlin
Lauterbach Airport	Lauterbach-Wernges	Germany	\N	EDFT	50.683334	9.410833	E	\N
Worms Airport	Worms	Germany	\N	EDFV	49.606945	8.368333	E	Europe/Berlin
Würzburg-Schenkenturm Airport	Wuerzburg	Germany	\N	EDFW	49.81778	9.8975	E	Europe/Berlin
Mainz-Finthen Airport	Mainz	Germany	\N	EDFZ	49.967499	8.147222	E	Europe/Berlin
Eisenach-Kindel Airport	Eisenach	Germany	EIB	EDGE	50.991604	10.47973	E	Europe/Berlin
Siegerland Airport	Siegerland	Germany	SGE	EDGS	50.70769882	8.082969666	E	Europe/Berlin
Weinheim/Bergstraße Airport	Weinheim	Germany	\N	EDGZ	49.56750107	8.610555649	E	Europe/Berlin
Grube Airport	Grube	Germany	\N	EDHB	54.2444458	11.0247221	E	Europe/Berlin
Lüchow-Rehbeck Airport	Luechow	Germany	\N	EDHC	53.01610947	11.14444447	E	Europe/Berlin
Uetersen/Heist Airport	Uetersen	Germany	\N	EDHE	53.64638901	9.704167366	E	Europe/Berlin
Itzehoe/Hungriger Wolf Airport	Itzehoe	Germany	\N	EDHF	53.9944458	9.578611374	E	Europe/Berlin
Hamburg-Finkenwerder Airport	Hamburg	Germany	XFW	EDHI	53.53527832	9.83555603	E	Europe/Berlin
Kiel-Holtenau Airport	Kiel	Germany	KEL	EDHK	54.37944412	10.14527798	E	Europe/Berlin
Lübeck Blankensee Airport	Luebeck	Germany	LBC	EDHL	53.80540085	10.71920013	E	Europe/Berlin
Flugplatz Hartenholm	Hasenmoor	Germany	\N	EDHM	53.915001	10.035556	E	Europe/Berlin
Neumünster Airport	Neumuenster	Germany	EUM	EDHN	54.07944489	9.941389084	E	Europe/Berlin
Pellworm Field	Pellworm	Germany	\N	EDHP	54.5363884	8.680000305	E	Europe/Berlin
Stade Airport	Stade	Germany	\N	EDHS	53.56111145	9.499167442	E	\N
Lauenbrück Airport	Lauenbrueck	Germany	\N	EDHU	53.20750046	9.573332787	E	\N
Memmingen Allgau Airport	Memmingen	Germany	FMM	EDJA	47.98880005	10.23950005	E	Europe/Berlin
Aachen-Merzbrück Airport	Aachen	Germany	AAH	EDKA	50.82305527	6.186388969	E	Europe/Berlin
Bonn-Hangelar Airport	Sankt-Augustin	Germany	BNJ	EDKB	50.76889038	7.163332939	E	\N
Leverkusen Airport	Leverkusen	Germany	\N	EDKL	51.01527786	7.005556107	E	Europe/Berlin
Meschede-Schüren Airport	Meschede	Germany	\N	EDKM	51.30277634	8.239167213	E	\N
Wipperfürth-Neye Airport	Wipperfuerth	Germany	\N	EDKN	51.1241684	7.373610973	E	Europe/Berlin
Brilon/Hochsauerlandkreis Airfield	Brilon	Germany	\N	EDKO	51.4025	8.641667	E	Europe/Berlin
Flugplatz Dahlemer Binz	Dahlemer Binz	Germany	\N	EDKV	50.40555573	6.528889179	E	Europe/Berlin
Meinerzhagen Airport	Meinerzhagen	Germany	\N	EDKZ	51.09999847	7.599999905	E	Europe/Berlin
Arnsberg-Menden Airport	Arnsberg	Germany	\N	EDLA	51.48389053	7.898333073	E	Europe/Berlin
Borkenberge Airport	Duelmen	Germany	\N	EDLB	51.77999878	7.288055897	E	Europe/Berlin
Dinslaken/Schwarze Heide Airport	Dinslaken	Germany	\N	EDLD	51.616112	6.865278	E	Europe/Berlin
Essen Mulheim Airport	Essen	Germany	ESS	EDLE	51.40230179	6.937329769	E	Europe/Berlin
Grefrath-Niershorst Airport	Grefrath	Germany	\N	EDLF	51.33388901	6.359444141	E	Europe/Berlin
Hamm-Lippewiesen Airport	Hamm	Germany	\N	EDLH	51.68972015	7.816111088	E	Europe/Berlin
Bielefeld Airport	Bielefeld	Germany	BFE	EDLI	51.964722	8.544444	E	Europe/Berlin
Krefeld-Egelsberg Airport	Krefeld	Germany	\N	EDLK	51.38499832	6.587778091	U	\N
Marl-Loemühle Airfield	Recklinghausen	Germany	\N	EDLM	51.647202	7.16333	U	Europe/Berlin
Mönchengladbach Airport	Moenchengladbach	Germany	MGL	EDLN	51.230278	6.504444	E	Europe/Berlin
Oerlinghausen Airport	TELGTE	Germany	\N	EDLO	51.93222046	8.66166687	E	Europe/Berlin
Paderborn Lippstadt Airport	Paderborn	Germany	PAD	EDLP	51.61410141	8.616319656	E	Europe/Berlin
Stadtlohn-Vreden Airport	Stadtlohn	Germany	\N	EDLS	51.99583435	6.840556145	E	Europe/Berlin
Münster-Telgte Airport	Muenster	Germany	\N	EDLT	51.94444275	7.773889065	E	Europe/Berlin
Weeze Airport	Weeze	Germany	NRN	EDLV	51.60240173	6.142169952	E	Europe/Berlin
Dortmund Airport	Dortmund	Germany	DTM	EDLW	51.5182991	7.612239838	E	Europe/Berlin
Augsburg Airport	Augsburg	Germany	AGB	EDMA	48.425278	10.931667	E	Europe/Berlin
Biberach a.d. Riß Airfield	Biberach	Germany	\N	EDMB	48.111111	9.762778	E	Europe/Berlin
Eggenfelden Airport	Eggenfelden	Germany	\N	EDME	48.39611053	12.72361088	E	Europe/Berlin
Landshut Airport	Landshut	Germany	\N	EDML	48.51166534	12.03333282	E	Europe/Berlin
Mindelheim-Mattsies Airfield	Mindelheim	Germany	\N	EDMN	48.106945	10.525	E	Europe/Berlin
Oberpfaffenhofen Airport	Oberpfaffenhofen	Germany	OBF	EDMO	48.081402	11.2831	E	Europe/Berlin
Straubing Airport	Straubing	Germany	RBM	EDMS	48.90083313	12.51666737	E	Europe/Berlin
Tannheim Airfield	Tannheim	Germany	\N	EDMT	48.009998	10.098611	E	Europe/Berlin
Vilshofen Airport	Vilshofen	Germany	\N	EDMV	48.63499832	13.19555569	E	Europe/Berlin
Arnbruck Airport	Arnbruck	Germany	\N	EDNB	49.12472153	12.98555565	U	\N
Elsenthal Grafe Airport	Elsenthal	Germany	\N	EDNF	48.822498	13.3675	E	\N
Leutkirch-Unterzeil Airport	Leutkirch	Germany	\N	EDNL	47.85889053	10.01416683	E	Europe/Berlin
Nittenau-Bruck Airport	Nittenau	Germany	\N	EDNM	49.22249985	12.2966671	E	Europe/Berlin
Regensburg-Oberhub Airport	Regensburg	Germany	\N	EDNR	49.14194489	12.08194447	E	Europe/Berlin
Vogtareuth Airport	Vogtareuth	Germany	\N	EDNV	47.94610977	12.2047224	E	\N
Oberschleißheim Airfield	Schleissheim	Germany	\N	EDNX	48.239445	11.561389	E	Europe/Berlin
Friedrichshafen Airport	Friedrichshafen	Germany	FDH	EDNY	47.67129898	9.511489868	E	Europe/Berlin
Torgau-Beilrode Airport	Gransee	Germany	\N	EDOG	51.570907	13.051641	E	\N
Bienenfarm Airport	Nauen	Germany	\N	EDOI	52.661667	12.745833	E	Europe/Berlin
Lüsse Airport	Luesse	Germany	\N	EDOJ	52.14110947	12.66472244	E	Europe/Berlin
Schwerin Parchim Airport	Parchim	Germany	SZW	EDOP	53.426998	11.7834	E	Europe/Berlin
Stendal-Borstel Airport	Stendal	Germany	\N	EDOV	52.62888718	11.81861115	E	Europe/Berlin
